"id","woonplaats","gemeente","provincie","latitude","longitude"
730,"Hazerswoude Rijndijk","Alphen aan den Rijn","Zuid-Holland",52.129167,4.593056
731,"Koudekerk aan den Rijn","Alphen aan den Rijn","Zuid-Holland",52.1322767,4.5983776
732,"Alphen aan den Rijn","Alphen aan den Rijn","Zuid-Holland",52.1194105,4.6437515
742,"Bodegraven","Bodegraven-Reeuwijk","Zuid-Holland",52.0661976,4.7407101
744,"Nieuwerbrug","Bodegraven-Reeuwijk","Zuid-Holland",52.0778881,4.8127843
745,"Nieuwkoop","Nieuwkoop","Zuid-Holland",52.1550943,4.788442
747,"Noorden","Nieuwkoop","Zuid-Holland",51.8725637,4.604099
750,"Zevenhoven","Nieuwkoop","Zuid-Holland",52.1802606,4.7817564
751,"Nieuwveen","Nieuwkoop","Zuid-Holland",52.1888804,4.7612193
753,"Aarlanderveen","Alphen aan den Rijn","Zuid-Holland",52.1409426,4.728984
754,"Leimuiden","Kaag en Braassem","Zuid-Holland",52.350925,4.8504867
756,"Ter Aar","Nieuwkoop","Zuid-Holland",52.16461,4.70899
758,"Rijnsaterwoude","Kaag en Braassem","Zuid-Holland",52.198906,4.6716523
759,"Zwammerdam","Alphen aan den Rijn","Zuid-Holland",52.073556,4.6594665
761,"Woubrugge","Kaag en Braassem","Zuid-Holland",52.1831065,4.5910855
763,"Den Haag","Den Haag","Zuid-Holland",52.0869351,4.3155204
835,"Delft","Delft","Zuid-Holland",52.0111076,4.3566778
850,"Nootdorp","Pijnacker-Nootdorp","Zuid-Holland",52.0457064,4.4729491
854,"Schipluiden","Midden-Delfland","Zuid-Holland",51.975149,4.3201488
855,"Pijnacker","Pijnacker-Nootdorp","Zuid-Holland",52.003371,4.4346532
859,"Delfgauw","Pijnacker-Nootdorp","Zuid-Holland",52.0091941,4.3967708
860,"Berkel en Rodenrijs","Lansingerland","Zuid-Holland",52.0463895,4.4876313
863,"Bergschenhoek","Lansingerland","Zuid-Holland",52.0415113,4.5039862
866,"Bleiswijk","Lansingerland","Zuid-Holland",52.0094799,4.5384196
867,"Naaldwijk","Westland","Zuid-Holland",51.9861935,4.206201
871,"Honselersdijk","Westland","Zuid-Holland",52,4.233333
872,"Maasdijk","Westland","Zuid-Holland",51.9593107,4.2144274
873,"De Lier","Westland","Zuid-Holland",51.9744488,4.2511633
874,"Monster","Westland","Zuid-Holland",51.9861935,4.206201
876,"Ter Heijde","Westland","Zuid-Holland",52.0299823,4.1677757
877,"Poeldijk","Westland","Zuid-Holland",52.0230405,4.2187772
878,"'s-Gravenzande","Westland","Zuid-Holland",51.9861935,4.206201
883,"Zoetermeer","Zoetermeer","Zuid-Holland",52.0383667,4.4874537
903,"Benthuizen","Alphen aan den Rijn","Zuid-Holland",52.0751101,4.5445181
905,"Gelderswoude","Zoeterwoude","Zuid-Holland",52.0909366,4.5310052
906,"Waddinxveen","Waddinxveen","Zuid-Holland",52.0431934,4.6579012
910,"Moerkapelle","Zuidplas","Zuid-Holland",52.0734433,4.6593099
913,"Zevenhuizen","Zuidplas","Zuid-Holland",52.0091493,4.5671016
915,"Boskoop","Alphen aan den Rijn","Zuid-Holland",52.0704702,4.6374051
917,"Gouda","Gouda","Zuid-Holland",52.012556,4.708884
927,"Reeuwijk","Bodegraven-Reeuwijk","Zuid-Holland",52.0428988,4.7211643
929,"Stolwijk","Krimpenerwaard","Zuid-Holland",51.8759325,4.5377609
931,"Berkenwoude","Krimpenerwaard","Zuid-Holland",51.945159,4.7068241
932,"Gouderak","Krimpenerwaard","Zuid-Holland",51.985302,4.6767453
934,"Moordrecht","Zuidplas","Zuid-Holland",52.016185,4.6603333
936,"Haastrecht","Krimpenerwaard","Zuid-Holland",51.8802621,4.5363699
938,"Vlist","Krimpenerwaard","Zuid-Holland",51.9809619,4.8171551
939,"Bergambacht","Krimpenerwaard","Zuid-Holland",51.9318964,4.7827097
941,"Ammerstol","Krimpenerwaard","Zuid-Holland",51.9273544,4.8077745
942,"Schoonhoven","Krimpenerwaard","Zuid-Holland",51.9454225,4.8519993
944,"Capelle aan den IJssel","Capelle aan den IJssel","Zuid-Holland",51.9224986,4.5629844
954,"Nieuwerkerk aan den IJssel","Zuidplas","Zuid-Holland",51.9678752,4.6170521
959,"Krimpen aan den IJssel","Krimpen aan den IJssel","Zuid-Holland",51.924447,4.6044957
966,"Krimpen aan de Lek","Krimpenerwaard","Zuid-Holland",51.9118641,4.6425962
968,"Ouderkerk aan den IJssel","Krimpenerwaard","Zuid-Holland",51.9324481,4.6371786
969,"Lekkerkerk","Krimpenerwaard","Zuid-Holland",51.9227856,4.6854968
971,"Alblasserdam","Alblasserdam","Zuid-Holland",51.8505717,4.6795684
976,"Nieuw-Lekkerland","Molenlanden","Zuid-Holland",51.8872759,4.6858964
977,"Streefkerk","Molenlanden","Zuid-Holland",51.8998914,4.74488
978,"Kinderdijk","Molenlanden","Zuid-Holland",51.8177474,3.9801001
980,"Groot-Ammers","Molenlanden","Zuid-Holland",51.9246393,4.8253021
981,"Nieuwpoort","Molenlanden","Zuid-Holland",51.9347419,4.8692024
982,"Langerak","Molenlanden","Zuid-Holland",51.9323151,4.8776587
983,"Waal","Molenlanden","Zuid-Holland",51.9381851,4.9009372
984,"Oud-Alblas","Molenlanden","Zuid-Holland",51.8569169,4.7034111
985,"Bleskensgraaf","Molenlanden","Zuid-Holland",51.8708591,4.7805545
987,"Molenaarsgraaf","Molenlanden","Zuid-Holland",51.8776962,4.8287892
988,"Brandwijk","Molenlanden","Zuid-Holland",51.8895768,4.813418
989,"Ottoland","Molenlanden","Zuid-Holland",51.8908145,4.8615678
990,"Goudriaan","Molenlanden","Zuid-Holland",51.9025271,4.9006544
991,"Ridderkerk","Ridderkerk","Zuid-Holland",51.8718157,4.5996739
1001,"Barendrecht","Barendrecht","Zuid-Holland",51.8560474,4.5370848
1006,"Heerjansdam","Zwijndrecht","Zuid-Holland",51.8359184,4.5656402
1007,"Rotterdam","Rotterdam","Zuid-Holland",51.926789,4.421901
1082,"Schiedam","Schiedam","Zuid-Holland",51.9127229,4.4007511
1100,"Vlaardingen","Vlaardingen","Zuid-Holland",51.9059,4.34531
1109,"Maassluis","Maassluis","Zuid-Holland",51.9861935,4.206201
1117,"Hoek van Holland","Rotterdam","Zuid-Holland",51.9907783,4.1296864
1119,"Maasland","Midden-Delfland","Zuid-Holland",51.9350968,4.2728618
1120,"Rhoon","Albrandswaard","Zuid-Holland",51.857971,4.4722296
1124,"Poortugaal","Albrandswaard","Zuid-Holland",51.9037688,4.4041475
1130,"Hoogvliet","Rotterdam","Zuid-Holland",51.8631527,4.3594075
1135,"Pernis","Rotterdam","Zuid-Holland",51.8887319,4.3890747
1136,"Vondelingenplaat","Rotterdam","Zuid-Holland",51.8869,4.33
1137,"Botlek","Rotterdam","Zuid-Holland",51.8749478,4.282547
1138,"Europoort","Rotterdam","Zuid-Holland",51.943333,4.1425
1139,"Maasvlakte","Rotterdam","Zuid-Holland",51.962398,4.0567997
1140,"Spijkenisse","Nissewaard","Zuid-Holland",51.847626,4.327577
1149,"Hekelingen","Nissewaard","Zuid-Holland",51.8254264,4.3447884
1150,"Geervliet","Nissewaard","Zuid-Holland",51.8613451,4.2608302
1151,"Simonshaven","Nissewaard","Zuid-Holland",51.821815,4.2898095
1152,"Zuidland","Nissewaard","Zuid-Holland",51.8220118,4.2592753
1153,"Abbenbroek","Nissewaard","Zuid-Holland",51.84872,4.2428247
1154,"Heenvliet","Nissewaard","Zuid-Holland",51.8651667,4.2431951
1155,"Hellevoetsluis","Voorne aan Zee","Zuid-Holland",51.8302409,4.1434108
